"","fixed.acidity","volatile.acidity","citric.acid","residual.sugar","chlorides","free.sulfur.dioxide","total.sulfur.dioxide","density","pH","sulphates","alcohol","quality"
"1287",7.1,0.16,0.44,2.5,0.068,17,31,0.99328,3.35,NA,12.4,6
"1158",5.1,NA,0.18,2.1,0.042,16,101,0.9924,3.46,0.87,12.9,7
"790",8.6,0.63,0.17,2.9,0.099,21,119,0.998,3.09,0.52,9.3,5
"900",8.3,NA,0.02,3.4,0.084,6,11,NA,3.48,0.49,11,3
"236",7.2,0.63,0,1.9,0.097,14,38,0.99675,3.37,0.58,9,6
"1172",7.1,0.59,0,2.2,0.078,26,44,0.99522,3.42,0.68,10.8,NA
"691",7.4,1.185,0,4.25,0.097,NA,14,0.9966,3.63,0.54,10.7,3
"295",13.3,0.34,0.52,3.2,0.094,17,53,1.0014,3.05,0.81,9.5,6
"521",9.8,0.25,0.49,2.7,0.088,15,33,0.9982,3.42,0.9,10,6
"831",7.5,0.685,0.07,2.5,0.058,5,9,0.99632,3.38,0.55,10.9,4
"531",9.1,0.22,0.24,2.1,0.078,1,28,0.999,3.41,NA,10.3,6
"21",8.9,0.22,0.48,1.8,NA,29,60,0.9968,3.39,0.53,9.4,6
"1003",9.1,0.29,0.33,2.05,0.063,13,27,0.99516,3.26,0.84,11.7,7
"959",NA,0.57,0.12,2.3,0.12,25,36,0.99519,3.47,0.71,11.3,7
"492",9.2,0.41,0.5,2.5,0.055,12,25,NA,3.34,0.79,13.3,7
"866",7.2,0.635,0.07,2.6,0.077,16,NA,0.99748,3.51,0.54,9.7,5
"372",7.9,0.24,0.4,1.6,0.056,11,NA,0.9967,3.32,NA,8.7,6
"1285",7,0.42,0.19,NA,0.071,NA,36,0.99476,3.39,0.56,10.9,5
"420",6.8,0.77,0,1.8,0.066,34,NA,0.9976,3.62,NA,9.9,5
"697",7,0.65,0.02,2.1,0.066,8,25,0.9972,3.47,NA,9.5,6
"1289",7,0.6,0.3,4.5,0.068,20,110,0.99914,3.3,1.17,10.2,5
"57",10.2,0.42,NA,3.4,0.07,4,10,0.9971,3.04,0.63,9.6,5
"803",5.1,0.585,0,1.7,0.044,14,86,0.99264,3.56,0.94,12.9,7
"1144",7,0.22,0.3,1.8,0.065,16,NA,0.99672,3.61,0.82,10,6
"809",NA,0.53,0.12,1.9,0.165,4,12,0.99702,3.26,0.86,9.2,5
"1166",8.5,0.44,0.5,NA,0.369,15,38,0.99634,3.01,1.1,9.4,5
"1440",7.3,0.67,0.02,2.2,0.072,31,92,0.99566,3.32,0.68,11.0666666666667,6
"394",8.4,0.665,NA,2,0.112,13,95,0.997,3.16,0.54,9.1,5
"1119",7.1,0.39,0.12,2.1,0.065,14,24,0.99252,3.3,0.53,13.3,6
"1417",10,0.32,0.59,2.2,NA,3,15,0.9994,3.2,0.78,9.6,5
"353",NA,0.665,0,2.4,NA,8,19,0.9974,3.27,0.73,9.3,5
"1091",10,0.26,0.54,1.9,0.083,42,74,NA,2.98,0.63,11.8,8
"65",7.2,0.725,0.05,4.65,0.086,4,11,0.9962,3.41,0.39,10.9,5
"590",10.2,0.29,0.49,2.6,0.059,5,13,0.9976,3.05,NA,10.5,7
"895",NA,0.63,0.03,2.2,0.08,17,88,0.99745,3.53,0.58,9.8,6
"1489",NA,0.54,0.04,1.7,0.049,5,13,0.9942,3.72,0.58,11.4,5
"58",7.5,0.63,0.12,5.1,0.111,50,110,0.9983,NA,0.77,9.4,5
"757",6.3,0.98,0.01,2,0.057,NA,33,0.99488,3.6,0.46,11.2,6
"480",9.4,0.685,0.11,2.7,0.077,6,31,0.9984,3.19,0.7,10.1,6
"1292",8.2,0.635,0.1,2.1,0.073,25,60,0.99638,3.29,0.75,10.9,6
"1479",7.1,0.875,0.05,NA,NA,3,14,0.99808,3.4,0.52,10.2,3
"511",12.4,0.42,0.49,4.6,0.073,19,43,0.9978,3.02,0.61,9.5,5
"1501",NA,0.725,0.04,NA,0.076,8,15,NA,3.26,0.53,9.6,5
"361",8.2,0.7,0.23,2,0.099,14,81,NA,3.19,0.7,9.4,5
"1171",9.2,0.36,0.34,1.6,0.062,5,12,0.99667,3.2,0.67,10.5,6
"371",6.9,0.765,0.02,2.3,0.063,35,63,0.9975,3.57,0.78,9.9,5
"1428",7.6,NA,0.33,2.5,0.078,6,23,0.9957,3.3,0.58,11.2,5
"1019",8,0.18,0.37,0.9,0.049,36,109,0.99007,2.89,0.44,12.7,6
"354",13.5,0.53,0.79,4.8,0.12,23,77,NA,3.18,0.77,13,5
"1560",7.8,NA,0.26,2,0.08,NA,131,0.99622,3.21,0.52,9.9,5
"995",10,NA,0.45,2.5,0.092,20,88,0.99918,3.15,0.43,9.4,5
"1443",6.9,0.63,0.02,1.9,0.078,18,30,0.99712,3.4,0.75,9.8,5
"1302",NA,0.86,0.07,2,0.1,NA,57,0.99598,3.6,0.74,11.7,6
"1454",7.6,0.49,0.33,NA,0.074,27,85,0.99706,3.41,0.58,9,5
"1376",7.2,0.56,0.26,2,0.083,13,100,0.99586,3.26,0.52,9.9,5
"1234",10.2,0.23,0.37,2.2,0.057,14,36,NA,3.23,0.49,9.3,4
"284",8.9,0.4,0.32,5.6,0.087,10,47,0.9991,3.38,0.77,10.5,7
"816",10.8,0.45,0.33,2.5,0.099,20,NA,0.99818,3.24,0.71,10.8,5
"1114",8.9,0.24,0.39,1.6,0.074,3,10,0.99698,3.12,NA,9.5,6
"926",NA,0.22,0.36,1.9,0.064,53,77,NA,3.47,0.87,11,7
"150",8.2,0.4,0.44,2.8,0.089,11,43,0.9975,3.53,0.61,10.5,6
"666",9.4,0.59,0.14,2,0.084,25,48,0.9981,3.14,0.56,9.7,5
"1407",8.2,0.24,0.34,5.1,0.062,8,22,0.9974,3.22,0.94,10.9,6
"724",7.1,0.31,0.3,2.2,0.053,36,127,0.9965,2.94,1.62,9.5,5
"863",7.5,0.42,0.32,2.7,0.067,7,25,0.99628,3.24,0.44,10.4,5
"872",6.9,0.56,0.03,1.5,0.086,36,46,0.99522,3.53,0.57,10.6,5
"30",7.8,0.645,NA,NA,0.082,8,16,0.9964,3.38,0.59,9.8,6
"1490",6.2,NA,0.1,2.1,0.048,4,11,0.99448,3.44,0.76,10.8,6
"947",10.2,0.44,0.58,4.1,0.092,11,NA,0.99745,3.29,0.99,12,7
"1094",NA,0.31,0.36,2.2,0.079,11,31,0.99615,3.33,0.86,12,7
"1259",6.8,0.64,0,2.7,0.123,15,33,0.99538,3.44,0.63,11.3,6
"1188",7,0.43,0.3,2,0.085,NA,39,0.99346,3.33,0.46,11.9,6
"678",8.6,0.8,0.11,2.3,0.084,12,31,0.9979,3.4,0.48,9.9,5
"99",7.6,0.9,0.06,2.5,0.079,5,10,0.9967,3.39,0.56,9.8,5
"833",10.4,NA,NA,1.5,0.145,NA,48,0.99832,3.38,0.86,9.9,3
"1578",6.2,0.7,0.15,5.1,0.076,13,NA,0.99622,3.54,0.6,11.9,6
"175",7.3,0.38,0.21,NA,0.08,7,35,0.9961,3.33,0.47,9.5,5
"516",8.5,0.655,0.49,6.1,0.122,NA,NA,1.001,3.31,1.14,9.3,5
"1199",7.7,0.26,0.26,2,0.052,NA,77,0.9951,3.15,0.79,10.9,6
"1446",7.4,0.785,0.19,5.2,0.094,19,98,0.99713,3.16,0.52,9.6,6
"1026",8.6,0.83,0,2.8,0.095,17,43,NA,3.33,0.6,10.4,6
"1591",6.3,0.55,0.15,1.8,0.077,26,35,0.99314,3.32,NA,11.6,6
"710",9.7,0.31,0.47,1.6,0.062,13,33,0.9983,NA,0.66,10,6
"788",10,0.56,0.24,2.2,0.079,19,58,0.9991,3.18,0.56,10.1,6
"910",7.3,0.305,0.39,1.2,0.059,NA,11,0.99331,3.29,0.52,11.5,6
"649",8.7,0.48,0.3,2.8,0.066,10,28,0.9964,3.33,0.67,11.2,7
"92",8.6,0.49,0.28,1.9,0.11,20,NA,0.9972,2.93,1.95,9.9,6
"415",8.8,0.52,0.34,2.7,0.087,24,122,0.9982,NA,0.61,9.5,5
"1005",8.2,0.43,0.29,1.6,0.081,27,45,0.99603,3.25,0.54,10.3,5
"454",10.4,0.33,0.63,NA,0.084,NA,22,0.9998,3.26,0.74,11.2,7
"662",7.5,0.42,0.31,1.6,0.08,15,42,0.9978,3.31,0.64,9,5
"497",7.8,0.52,0.25,1.9,0.081,14,38,0.9984,3.43,0.65,9,6
"1212",6.6,NA,0.15,2.1,0.076,22,53,0.9957,3.32,0.62,9.3,5
"443",15.6,0.685,0.76,NA,0.1,6,43,1.0032,2.95,0.68,11.2,7
"210",11,0.3,0.58,2.1,0.054,7,19,0.998,3.31,0.88,10.5,7
"875",10.4,0.38,0.46,2.1,0.104,6,10,0.99664,3.12,NA,11.8,7
"1175",7.6,0.36,0.31,NA,0.079,26,65,0.99716,3.46,0.62,9.5,6
"1290",7,0.6,0.3,4.5,0.068,20,110,0.99914,3.3,1.17,10.2,5
"363",11.9,0.58,0.66,2.5,0.072,6,37,NA,3.05,0.56,10,5
"881",9.2,0.56,0.18,1.6,0.078,10,21,0.99576,3.15,0.49,9.9,5
"965",8.5,0.47,0.27,1.9,0.058,18,38,0.99518,3.16,0.85,11.1,6
"1513",6.4,0.79,0.04,2.2,0.061,11,17,0.99588,3.53,0.65,10.4,6
"459",10.4,0.33,0.63,2.8,0.084,5,22,0.9998,3.26,0.74,11.2,7
"1464",6.9,0.63,0.01,2.4,0.076,14,39,NA,3.34,0.53,10.8,6
"1375",6.8,0.815,0,1.2,0.267,16,29,0.99471,3.32,0.51,9.8,3
"823",NA,0.54,0.13,2,0.076,NA,36,0.9973,3.61,0.64,9.8,5
"1176",6.5,NA,0,2.2,0.095,48,59,0.99541,3.61,0.7,11.5,6
"1016",10.5,0.39,0.46,2.2,NA,14,27,0.99598,3.06,0.84,11.4,6
"238",7.2,0.645,0,1.9,0.097,15,39,0.99675,NA,0.58,9.2,6
"1399",7,0.6,0.12,2.2,0.083,13,28,0.9966,3.52,0.62,10.2,7
"1",NA,0.7,0,1.9,0.076,NA,34,0.9978,3.51,0.56,9.4,5
"1462",6.2,0.785,0,2.1,0.06,6,13,0.99664,3.59,0.61,10,4
"569",9.8,0.5,0.49,2.6,0.25,5,20,0.999,3.31,0.79,10.7,6
"1241",7.5,0.61,0.2,1.7,0.076,36,60,0.99494,3.1,0.4,9.3,5
"1517",6.1,0.32,0.25,2.3,0.071,23,58,0.99633,3.42,0.97,10.6,5
"1130",10.5,0.43,0.35,NA,0.092,24,70,0.99798,3.21,0.69,10.5,6
"1214",9.6,0.38,0.42,1.9,0.071,5,NA,0.99659,NA,0.75,10.5,6
"71",7.7,0.63,0.08,1.9,0.076,15,27,0.9967,3.32,0.54,9.5,6
"654",9.4,0.33,0.59,2.8,0.079,9,30,0.9976,3.12,0.54,12,6
"10",7.5,0.5,0.36,6.1,0.071,NA,102,0.9978,3.35,0.8,10.5,5
"1422",7.5,0.4,0.18,NA,0.079,NA,58,0.9965,3.34,0.58,9.4,5
"1067",6.6,0.52,0.08,2.4,0.07,NA,26,NA,3.4,0.72,12.5,7
"856",NA,0.735,0.02,2.5,0.071,NA,14,0.99538,3.51,0.71,11.7,7
"166",7.8,0.63,0.48,1.7,0.1,14,96,0.9961,3.19,0.62,9.5,5
"1113",7.9,0.33,0.41,1.5,0.056,6,35,0.99396,3.29,0.71,11,6
"789",10,0.56,0.24,2.2,0.079,19,58,0.9991,3.18,0.56,10.1,6
"63",7.5,0.52,0.16,1.9,0.085,12,35,0.9968,3.38,0.62,9.5,7
"1063",8,0.38,0.44,1.9,0.098,6,15,0.9956,3.3,0.64,11.4,6
"1007",9.1,0.29,0.33,2.05,0.063,13,27,0.99516,3.26,0.84,11.7,7
"35",5.2,0.32,0.25,1.8,NA,NA,50,0.9957,3.38,0.55,9.2,5
"1573",7.3,0.69,0.32,2.2,0.069,35,104,NA,3.33,0.51,9.5,5
"1413",8.2,0.24,0.34,5.1,0.062,NA,22,0.9974,3.22,0.94,10.9,6
"1558",6.6,0.855,0.02,2.4,0.062,15,23,0.99627,3.54,0.6,11,6
"813",NA,0.45,0.33,2.5,0.099,20,38,0.99818,3.24,0.71,10.8,5
"1506",6.7,0.76,0.02,1.8,0.078,6,12,0.996,3.55,0.63,9.95,3
"797",8.7,0.46,0.31,2.5,0.126,24,64,0.99746,3.1,0.74,9.6,5
"731",9.5,0.55,0.66,2.3,0.387,12,37,NA,3.17,0.67,9.6,5
"487",10.2,0.67,0.39,1.9,0.054,6,17,0.9976,3.17,0.47,10,5
"1508",7.5,0.38,0.57,2.3,0.106,5,12,NA,3.36,0.55,11.4,6
"17",8.5,0.28,0.56,1.8,0.092,35,103,0.9969,NA,NA,10.5,7
"482",NA,0.3,0.56,2.8,0.08,6,17,NA,3.15,NA,11.7,8
"1211",6.8,0.65,0.02,NA,0.078,8,15,0.99498,3.35,0.62,10.4,6
"433",11.9,0.37,0.69,2.3,0.078,12,24,0.9958,3,0.65,12.8,6
"1077",9.9,0.32,0.56,2,0.073,3,8,0.99534,3.15,0.73,11.4,6
"1528",7.1,0.53,0.07,1.7,0.071,15,24,0.9951,3.29,0.66,10.8,6
"1326",6.7,0.46,0.24,1.7,0.077,18,34,0.9948,3.39,0.6,10.6,6
"1012",8.9,0.32,0.31,2,0.088,12,19,0.9957,3.17,0.55,10.4,6
"1257",7.5,0.59,NA,1.8,0.082,43,60,0.99499,3.1,0.42,9.2,5
"478",NA,0.24,0.49,1.8,0.075,6,20,0.9977,3.18,1.06,11,6
"1164",9,0.785,0.24,1.7,0.078,10,21,0.99692,3.29,0.67,10,5
"458",9.2,0.63,0.21,2.7,0.097,29,65,0.9988,3.28,0.58,9.6,5
"112",8.4,0.62,0.09,2.2,0.084,11,108,0.9964,3.15,0.66,9.8,5
"161",7.6,0.95,0.03,NA,0.09,7,20,0.9959,3.2,0.56,9.6,5
"106",8.1,0.575,0.22,2.1,0.077,12,65,0.9967,3.29,0.51,9.2,5
"135",NA,1.04,0.05,2.2,0.084,13,29,0.9959,3.22,0.55,9.9,6
"1441",7.2,0.37,0.32,2,0.062,NA,28,0.9947,3.23,0.73,11.3,7
"1184",6.8,0.66,0.07,1.6,0.07,16,61,0.99572,3.29,0.6,9.3,5
"4",11.2,0.28,0.56,1.9,0.075,17,60,0.998,3.16,0.58,9.8,NA
"5",7.4,0.7,0,1.9,0.076,11,34,0.9978,3.51,0.56,9.4,NA
"6",7.4,0.66,0,1.8,0.075,13,40,0.9978,3.51,0.56,9.4,NA
"7",7.9,0.6,0.06,1.6,0.069,15,59,0.9964,3.3,0.46,9.4,NA
"9",7.8,0.58,0.02,2,0.073,9,18,0.9968,3.36,0.57,9.5,NA
"11",6.7,0.58,0.08,1.8,0.097,15,65,0.9959,3.28,0.54,9.2,NA
"12",7.5,0.5,0.36,6.1,0.071,17,102,0.9978,3.35,0.8,10.5,NA
"13",5.6,0.615,0,1.6,0.089,16,59,0.9943,3.58,0.52,9.9,NA
"14",7.8,0.61,0.29,1.6,0.114,9,29,0.9974,3.26,1.56,9.1,NA
"15",8.9,0.62,0.18,3.8,0.176,52,145,0.9986,3.16,0.88,9.2,NA
"19",7.4,0.59,0.08,4.4,0.086,6,29,0.9974,3.38,0.5,9,NA
"20",7.9,0.32,0.51,1.8,0.341,17,56,0.9969,3.04,1.08,9.2,NA
"22",7.6,0.39,0.31,2.3,0.082,23,71,0.9982,3.52,0.65,9.7,NA
"23",7.9,0.43,0.21,1.6,0.106,10,37,0.9966,3.17,0.91,9.5,NA
"26",6.3,0.39,0.16,1.4,0.08,11,23,0.9955,3.34,0.56,9.3,NA
"28",7.9,0.43,0.21,1.6,0.106,10,37,0.9966,3.17,0.91,9.5,NA
"29",7.1,0.71,0,1.9,0.08,14,35,0.9972,3.47,0.55,9.4,NA
"31",6.7,0.675,0.07,2.4,0.089,17,82,0.9958,3.35,0.54,10.1,NA
"32",6.9,0.685,0,2.5,0.105,22,37,0.9966,3.46,0.57,10.6,NA
"34",6.9,0.605,0.12,10.7,0.073,40,83,0.9993,3.45,0.52,9.4,NA
"36",7.8,0.645,0,5.5,0.086,5,18,0.9986,3.4,0.55,9.6,NA
"38",8.1,0.38,0.28,2.1,0.066,13,30,0.9968,3.23,0.73,9.7,NA
"43",7.5,0.49,0.2,2.6,0.332,8,14,0.9968,3.21,0.9,10.5,NA
"44",8.1,0.66,0.22,2.2,0.069,9,23,0.9968,3.3,1.2,10.3,NA
"45",6.8,0.67,0.02,1.8,0.05,5,11,0.9962,3.48,0.52,9.5,NA
"47",7.7,0.935,0.43,2.2,0.114,22,114,0.997,3.25,0.73,9.2,NA
"48",8.7,0.29,0.52,1.6,0.113,12,37,0.9969,3.25,0.58,9.5,NA
"50",5.6,0.31,0.37,1.4,0.074,12,96,0.9954,3.32,0.58,9.2,NA
"51",8.8,0.66,0.26,1.7,0.074,4,23,0.9971,3.15,0.74,9.2,NA
"52",6.6,0.52,0.04,2.2,0.069,8,15,0.9956,3.4,0.63,9.4,NA
"54",8.6,0.38,0.36,3,0.081,30,119,0.997,3.2,0.56,9.4,NA
"55",7.6,0.51,0.15,2.8,0.11,33,73,0.9955,3.17,0.63,10.2,NA
"56",7.7,0.62,0.04,3.8,0.084,25,45,0.9978,3.34,0.53,9.5,NA
"59",7.8,0.59,0.18,2.3,0.076,17,54,0.9975,3.43,0.59,10,NA
"61",8.8,0.4,0.4,2.2,0.079,19,52,0.998,3.44,0.64,9.2,NA
"64",7,0.735,0.05,2,0.081,13,54,0.9966,3.39,0.57,9.8,NA
"66",7.2,0.725,0.05,4.65,0.086,4,11,0.9962,3.41,0.39,10.9,NA
"67",7.5,0.52,0.11,1.5,0.079,11,39,0.9968,3.42,0.58,9.6,NA
"68",6.6,0.705,0.07,1.6,0.076,6,15,0.9962,3.44,0.58,10.7,NA
"70",8,0.705,0.05,1.9,0.074,8,19,0.9962,3.34,0.95,10.5,NA
"72",7.7,0.67,0.23,2.1,0.088,17,96,0.9962,3.32,0.48,9.5,NA
"74",8.3,0.675,0.26,2.1,0.084,11,43,0.9976,3.31,0.53,9.2,NA
"75",9.7,0.32,0.54,2.5,0.094,28,83,0.9984,3.28,0.82,9.6,NA
"77",8.8,0.41,0.64,2.2,0.093,9,42,0.9986,3.54,0.66,10.5,NA
"79",6.7,0.75,0.12,2,0.086,12,80,0.9958,3.38,0.52,10.1,NA
"80",8.3,0.625,0.2,1.5,0.08,27,119,0.9972,3.16,1.12,9.1,NA
"81",6.2,0.45,0.2,1.6,0.069,3,15,0.9958,3.41,0.56,9.2,NA
"83",7.4,0.5,0.47,2,0.086,21,73,0.997,3.36,0.57,9.1,NA
"86",6.9,0.55,0.15,2.2,0.076,19,40,0.9961,3.41,0.59,10.1,NA
"89",9.3,0.39,0.44,2.1,0.107,34,125,0.9978,3.14,1.22,9.5,NA
"90",7,0.62,0.08,1.8,0.076,8,24,0.9978,3.48,0.53,9,NA
"93",8.6,0.49,0.29,2,0.11,19,133,0.9972,2.93,1.98,9.8,NA
"96",4.7,0.6,0.17,2.3,0.058,17,106,0.9932,3.85,0.6,12.9,NA
"101",8.3,0.61,0.3,2.1,0.084,11,50,0.9972,3.4,0.61,10.2,NA
"102",7.8,0.5,0.3,1.9,0.075,8,22,0.9959,3.31,0.56,10.4,NA
"104",8.1,0.575,0.22,2.1,0.077,12,65,0.9967,3.29,0.51,9.2,NA
"111",7.8,0.56,0.19,1.8,0.104,12,47,0.9964,3.19,0.93,9.5,NA
"113",8.4,0.6,0.1,2.2,0.085,14,111,0.9964,3.15,0.66,9.8,NA
"114",10.1,0.31,0.44,2.3,0.08,22,46,0.9988,3.32,0.67,9.7,NA
"116",9.4,0.4,0.31,2.2,0.09,13,62,0.9966,3.07,0.63,10.5,NA
"117",8.3,0.54,0.28,1.9,0.077,11,40,0.9978,3.39,0.61,10,NA
"118",7.8,0.56,0.12,2,0.082,7,28,0.997,3.37,0.5,9.4,NA
"119",8.8,0.55,0.04,2.2,0.119,14,56,0.9962,3.21,0.6,10.9,NA
"120",7,0.69,0.08,1.8,0.097,22,89,0.9959,3.34,0.54,9.2,NA
"121",7.3,1.07,0.09,1.7,0.178,10,89,0.9962,3.3,0.57,9,NA
"122",8.8,0.55,0.04,2.2,0.119,14,56,0.9962,3.21,0.6,10.9,NA
"123",7.3,0.695,0,2.5,0.075,3,13,0.998,3.49,0.52,9.2,NA
"124",8,0.71,0,2.6,0.08,11,34,0.9976,3.44,0.53,9.5,NA
"125",7.8,0.5,0.17,1.6,0.082,21,102,0.996,3.39,0.48,9.5,NA
"127",8.2,1.33,0,1.7,0.081,3,12,0.9964,3.53,0.49,10.9,NA
"128",8.1,1.33,0,1.8,0.082,3,12,0.9964,3.54,0.48,10.9,NA
"129",8,0.59,0.16,1.8,0.065,3,16,0.9962,3.42,0.92,10.5,NA
"134",6.6,0.5,0.01,1.5,0.06,17,26,0.9952,3.4,0.58,9.8,NA
"136",8.4,0.745,0.11,1.9,0.09,16,63,0.9965,3.19,0.82,9.6,NA
"137",8.3,0.715,0.15,1.8,0.089,10,52,0.9968,3.23,0.77,9.5,NA
"139",7.8,0.56,0.19,2.1,0.081,15,105,0.9962,3.33,0.54,9.5,NA
"140",7.8,0.56,0.19,2,0.081,17,108,0.9962,3.32,0.54,9.5,NA
"142",8.3,0.715,0.15,1.8,0.089,10,52,0.9968,3.23,0.77,9.5,NA
"144",6.3,0.39,0.08,1.7,0.066,3,20,0.9954,3.34,0.58,9.4,NA
"145",5.2,0.34,0,1.8,0.05,27,63,0.9916,3.68,0.79,14,NA
"147",5.8,0.68,0.02,1.8,0.087,21,94,0.9944,3.54,0.52,10,NA
"151",7.3,0.33,0.47,2.1,0.077,5,11,0.9958,3.33,0.53,10.3,NA
"152",9.2,0.52,1,3.4,0.61,32,69,0.9996,2.74,2,9.4,NA
"154",7.5,0.6,0.03,1.8,0.095,25,99,0.995,3.35,0.54,10.1,NA
"155",7.1,0.43,0.42,5.5,0.07,29,129,0.9973,3.42,0.72,10.5,NA
"157",7.1,0.43,0.42,5.5,0.07,29,129,0.9973,3.42,0.72,10.5,NA
"160",6.8,0.6,0.18,1.9,0.079,18,86,0.9968,3.59,0.57,9.3,NA
"164",7.4,0.6,0.26,7.3,0.07,36,121,0.9982,3.37,0.49,9.4,NA
"167",6.8,0.64,0.1,2.1,0.085,18,101,0.9956,3.34,0.52,10.2,NA
"168",7.3,0.55,0.03,1.6,0.072,17,42,0.9956,3.37,0.48,9,NA
"172",8,0.42,0.17,2,0.073,6,18,0.9972,3.29,0.61,9.2,NA
"173",8,0.42,0.17,2,0.073,6,18,0.9972,3.29,0.61,9.2,NA
"174",7.4,0.62,0.05,1.9,0.068,24,42,0.9961,3.42,0.57,11.5,NA
"177",7.3,0.38,0.21,2,0.08,7,35,0.9961,3.33,0.47,9.5,NA
"183",7.2,0.73,0.02,2.5,0.076,16,42,0.9972,3.44,0.52,9.3,NA
"185",6.7,0.62,0.21,1.9,0.079,8,62,0.997,3.52,0.58,9.3,NA
"186",8.9,0.31,0.57,2,0.111,26,85,0.9971,3.26,0.53,9.7,NA
"190",7.9,0.49,0.32,1.9,0.082,17,144,0.9968,3.2,0.55,9.5,NA
"191",8.2,0.5,0.35,2.9,0.077,21,127,0.9976,3.23,0.62,9.4,NA
"192",6.4,0.37,0.25,1.9,0.074,21,49,0.9974,3.57,0.62,9.8,NA
"193",6.8,0.63,0.12,3.8,0.099,16,126,0.9969,3.28,0.61,9.5,NA
"194",7.6,0.55,0.21,2.2,0.071,7,28,0.9964,3.28,0.55,9.7,NA
"196",7.8,0.59,0.33,2,0.074,24,120,0.9968,3.25,0.54,9.4,NA
"198",11.5,0.3,0.6,2,0.067,12,27,0.9981,3.11,0.97,10.1,NA
"199",5.4,0.835,0.08,1.2,0.046,13,93,0.9924,3.57,0.85,13,NA
"200",6.9,1.09,0.06,2.1,0.061,12,31,0.9948,3.51,0.43,11.4,NA
"203",6.8,0.5,0.11,1.5,0.075,16,49,0.99545,3.36,0.79,9.5,NA
"205",7,0.43,0.36,1.6,0.089,14,37,0.99615,3.34,0.56,9.2,NA
"207",12.8,0.3,0.74,2.6,0.095,9,28,0.9994,3.2,0.77,10.8,NA
"208",7.8,0.57,0.31,1.8,0.069,26,120,0.99625,3.29,0.53,9.3,NA
"209",7.8,0.44,0.28,2.7,0.1,18,95,0.9966,3.22,0.67,9.4,NA
"211",9.7,0.53,0.6,2,0.039,5,19,0.99585,3.3,0.86,12.4,NA
"213",11.6,0.44,0.64,2.1,0.059,5,15,0.998,3.21,0.67,10.2,NA
